20231008	19:01:11	bba0588f-55da-4aaf-b7b2-2096deeef464	/index	GET
20231008	19:01:11	83674538-8e6a-48e5-b0bf-471c29a35c54	/css/style.css	GET
20231008	19:01:12	b2d20d2a-2167-4607-ac47-347f2a54ecee	/favicon.ico	GET
20231008	19:01:30	9e784b1a-5ead-40d3-8d66-34dc50763950	/sub-page	GET
20231008	19:01:30	430c6d29-2526-4e47-8e63-4dba2e68a50a	/css/style.css	GET
20231008	19:01:52	66da3754-9254-4c7a-96c9-9a75d864bc40	/new-page	GET
20231008	19:01:52	77d2da5c-ce2a-40c4-9734-e5569242fda7	/img/img1.jpg	GET
20231008	19:01:52	fa996d5e-0927-4db8-87d0-b253fffbb80b	/css/style.css	GET
20231009	15:03:50	93841faa-e5fd-4632-9036-856ab9057593	GET	undefined	 /new-page
20231009	15:03:50	f1b97d42-6788-4a63-9955-decc6caaedfc	GET	undefined	 /favicon.ico
20231009	15:04:18	d7150f66-6342-4504-acd4-75771778e805	GET	undefined	 /
20231009	15:04:19	179e1eeb-aa9b-4ec5-82a2-9cf3ce090e01	GET	undefined	 /favicon.ico
20231009	15:06:04	90ded4e8-84dc-46a9-8dd7-e96022880025	GET	undefined	 /
20231009	15:06:04	c007c83f-84ef-41b5-86fb-ab951919abad	GET	undefined	 /favicon.ico
20231009	15:07:20	2acdafab-7fca-49ac-bb90-44eb8e39fcc8	GET	undefined	 /
20231009	15:07:21	059e16a5-ff02-4ce2-b3bd-da8cc00cb2c0	GET	undefined	 /css/style.css
20231009	15:07:21	8c964d57-2dc4-4042-84f2-3c1d0c3a0275	GET	undefined	 /favicon.ico
20231009	15:07:47	22be9429-5008-4441-a0db-27f9c8933b7b	GET	undefined	 /
20231009	15:07:47	feac557f-0b5a-4f21-8266-f41b9f131db1	GET	undefined	 /css/style.css
20231009	15:07:47	e41c4d95-c831-4fd7-9d69-73db062ea2c3	GET	undefined	 /favicon.ico
20231009	15:08:33	8014ec0c-b7b9-4d9f-a5f3-fe4d72b8f92a	GET	undefined	 /
20231009	15:08:33	24d7726a-f8be-4f01-8f08-e28fea990632	GET	undefined	 /css/style.css
20231009	15:08:33	ed53143e-9073-448e-8066-3b1b7eb8cd6c	GET	undefined	 /favicon.ico
20231009	15:08:52	457e0f32-3482-4f9d-b22b-589c130c1ec8	GET	undefined	 /
20231009	15:08:52	031259b1-aaad-44e0-80d8-9fe1b59ce7d6	GET	undefined	 /css/style.css
20231009	15:08:53	44bfdf72-2c30-4196-a470-2e89336ac2cf	GET	undefined	 /favicon.ico
20231009	15:42:36	a85f574c-b3ff-442d-99cb-c60c521b06bf	GET	undefined	 /
20231009	15:42:36	823f1003-63b4-4f10-9a6f-6d9b1ed58ae0	GET	undefined	 /css/style.css
20231009	15:42:36	b5bb5750-567f-447e-98a8-12f31109e51b	GET	undefined	 /favicon.ico
20231009	15:42:43	f27e9b67-e3f9-4670-a64f-f33dfb5f215b	GET	undefined	 /
20231009	15:42:43	37206c1c-d082-414b-895c-eac876f1c081	GET	undefined	 /css/style.css
20231009	15:42:44	3e77913e-b018-402f-b8fd-0192810f8684	GET	undefined	 /favicon.ico
20231009	15:54:20	760dc9d7-76b6-4c8b-a16e-b100a91f24b9	OPTIONS	https://www.google.com	 /
20231009	15:54:20	964ed5e3-ba6d-4eb5-a2a9-4e9aa7893d1d	GET	https://www.google.com	 /
20231009	16:12:58	0836c090-e856-480f-9357-68abc90ec759	GET	undefined	 /
20231009	16:12:58	75d62881-bcce-4d68-b946-e45d9ea47ed6	GET	undefined	 /favicon.ico
20231009	16:13:45	e6ca3af1-2488-4059-b895-ebd9de2889c8	GET	undefined	 /
20231009	16:14:45	8fa1fa55-62ab-4d0c-84f2-422c33a8b0ad	GET	undefined	 /
20231009	16:14:45	b7161daa-50fe-46ad-927c-bdda1e475f56	GET	undefined	 /favicon.ico
20231009	16:15:12	e3392f4d-a45f-49cf-b8ec-76e5f1955bcb	OPTIONS	https://www.google.com	 /
20231009	16:15:12	935a6352-52b1-4587-9b4c-ca1630dd82b3	GET	https://www.google.com	 /
20231009	16:15:53	06c0c6b8-e703-4f58-8faa-1a326775ce17	OPTIONS	https://www.google.com	 /
20231009	16:15:53	279616d4-2109-4237-977c-a5fba696bb6d	GET	https://www.google.com	 /
20231009	16:16:27	94371263-ee32-4f0a-83cf-cd577ca20185	OPTIONS	https://www.google.com	 /
20231009	16:16:27	5c36c51b-cf2c-4bd5-bf93-8a87046df68a	GET	https://www.google.com	 /
20231009	16:16:48	abd034d6-ebd2-49d8-8dc1-1fe5833e3712	OPTIONS	https://www.google.com	 /
20231009	16:16:48	3d8e73a8-3d89-46c9-bca4-345d0a8b9d5a	GET	https://www.google.com	 /
20231009	16:17:11	f7120b76-a75d-4d42-9ea0-0af3b37ab697	OPTIONS	https://www.google.com	 /
20231009	16:17:11	d8c87efe-f294-4141-9234-8559063afe1c	GET	https://www.google.com	 /
20231009	16:17:38	27d6c357-1d6b-4dc8-8b7b-8e71a3da291f	OPTIONS	https://www.google.com	 /
20231009	16:17:38	a57457c3-a973-4df2-8dc6-5cdd0dfcdcc7	GET	https://www.google.com	 /
20231009	16:18:06	585c7436-3257-4486-9ca7-27ccd4388cd0	OPTIONS	https://www.google.com	 /
20231009	16:18:06	a03e73c5-f655-4f2d-ab76-087b93de4b3f	GET	https://www.google.com	 /
20231009	16:19:37	91d6df0c-208e-4829-8ec1-a148c175fc00	OPTIONS	https://www.google.com	 /
20231009	16:19:37	251f988c-ffab-42bc-ae07-5ae482f735f8	GET	https://www.google.com	 /
20231009	16:20:00	da1deae1-9cf2-4773-a6bf-65b9d1f16d0a	OPTIONS	https://www.google.com	 /
20231009	16:20:00	c845cb5e-0bc7-4947-8e0d-cc3dd08dfcad	GET	https://www.google.com	 /
20231009	16:20:13	b4c2b9f7-bfce-49b7-9f0c-e4708ef73852	GET	undefined	 /
20231009	16:21:01	1eb2e00b-4525-4739-b884-6a58f374218d	OPTIONS	https://www.google.com	 /
20231009	16:21:01	6a104c70-84db-42db-8111-bab15162baaa	GET	https://www.google.com	 /
20231009	16:21:26	c7499c79-08d7-42cb-b02e-ffcc49e5ec4a	OPTIONS	https://www.google.com	 /
20231009	16:21:26	680f0731-cbc2-4553-a554-c74f103888cb	GET	https://www.google.com	 /
20231009	16:22:15	754a56b5-ea2f-4298-acb2-7dde6b1b5988	OPTIONS	https://www.google.com	 /
20231009	16:22:15	d30d269a-65c7-441d-9f50-2a713a291e8e	GET	https://www.google.com	 /
20231009	16:22:34	f618cb62-6a81-42c7-8074-a95eb6c68048	OPTIONS	https://www.google.com	 /
20231009	16:22:34	1cd69e8f-c791-4538-914a-00c9e43191c1	GET	https://www.google.com	 /
20231009	16:25:01	e775f32e-0dbb-484f-a48f-84319b3dab0c	OPTIONS	https://www.google.com	 /
20231009	16:25:01	705c23fe-8441-46a4-bbd8-0880736885fb	GET	https://www.google.com	 /
20231009	16:25:25	365aa271-864b-4d30-8c1e-c8f40aa8ba91	GET	undefined	 /
20231009	16:25:25	a47e08a1-f802-4bd1-b3ce-a7c5b39237af	GET	undefined	 /favicon.ico
20231009	16:25:29	05d6dc2e-0472-4726-b726-5d5004d38b4e	GET	undefined	 /
20231009	16:25:29	9b116a2e-6606-4a59-803a-ba7c9be70fa7	GET	undefined	 /favicon.ico
20231009	16:28:37	84c43319-280c-49f7-8b25-281258d00006	OPTIONS	https://www.google.com	 /
20231009	16:28:37	5c4bc13e-71a1-42a2-97cb-6d36daaa0b14	GET	https://www.google.com	 /
20231009	16:45:09	0639b2b9-9aca-4435-af6d-f5778bf73620	OPTIONS	https://www.google.com	 /
20231009	16:45:09	3d82deb4-d500-4281-b621-4fe39685c04f	GET	https://www.google.com	 /
20231009	16:45:37	8426c18e-c732-4651-90bc-c03eeda6d1f4	GET	undefined	 /
20231009	16:45:37	652cbbe6-a529-43bc-88fa-4262e479e5c7	GET	undefined	 /favicon.ico
20231009	16:45:40	d3070a88-96eb-48e0-b292-e28608f04db2	GET	undefined	 /
